date,open_x,high_x,low_x,close_x,volume_x,open_y,high_y,low_y,close_y,volume_y
4/15/2005,115.74,116.2,114.1,114.15,134065900,35.24,35.37,34.68,34.74,170274398
4/18/2005,114.12,114.96,113.96,114.5,100318700,34.73,35.1,34.64,34.75,110713926
4/19/2005,115.1,115.71,114.83,115.41,68402200,35.02,35.1,34.75,34.99,97511449
4/20/2005,115.4,115.63,113.55,113.8,114839500,35.21,35.29,34.59,34.704,140456063
4/21/2005,114.79,116.21,114.38,116.01,87467500,35.09,35.71,34.96,35.62,125000946
4/22/2005,115.74,116.5,114.27,115.57,89839500,35.455,35.47,34.817,35.09,115150749
4/25/2005,115.86,116.5,115.72,116.33,52365600,35.3,35.463,35.149,35.375,72220029
4/26/2005,115.96,116.77,115.15,115.2,75364600,35.29,35.7,35.04,35.05,108099464
4/27/2005,114.86,116.07,114.44,115.65,85186600,34.87,35.25,34.73,35.1,112639749
4/28/2005,115.27,115.68,114.2,114.2,74269500,34.92,35.15,34.72,34.75,98661337
4/29/2005,115.07,115.87,113.97,115.75,104285600,35.0,35.064,34.35,34.98,144508387
5/2/2005,116.07,116.41,115.52,116.4,56060700,35.1,35.263625,34.886,35.12,68205394
5/3/2005,116.07,116.85,115.69,116.6,86914900,35.05,35.6,35.03,35.3,104075336
5/4/2005,116.65,117.75,116.28,117.5,82487900,35.29,35.832,35.24,35.728,90934885
5/5/2005,117.67,118.0,116.74,117.46,97323300,35.75,35.924,35.53,35.76,79625223
5/6/2005,117.93,117.99,117.06,117.09,69603700,35.97,36.02,35.723,35.857,77397625
5/9/2005,117.21,118.08,117.05,117.82,43976700,35.87,36.06,35.657,36.03,66371706
5/10/2005,117.36,117.5,116.39,116.6,75034400,35.859,35.96,35.619,35.766,77475651
5/11/2005,116.93,117.4,115.85,117.24,92041300,35.823,36.026,35.3,35.95,132093966
5/12/2005,117.32,117.59,115.41,115.95,95574400,36.0,36.2,35.656,35.85,116671463
5/13/2005,116.3,116.62,114.8,115.72,85442700,35.99,36.47,35.888,36.24,133310016
5/16/2005,115.7,116.84,115.66,116.8,49351500,36.24,36.538,36.13,36.484,79136957
5/17/2005,116.43,117.7,116.16,117.58,61417200,36.349,36.74,36.21,36.7,91708996
5/18/2005,118.07,119.08,118.01,118.79,78053800,36.8,37.36,36.71,37.2,128146759
5/19/2005,119.02,119.41,118.7,119.29,62850100,37.29,37.52,37.2,37.512,93998428
5/20/2005,119.34,119.39,118.74,119.12,46424800,37.45,37.69,37.35,37.66,66708477
5/23/2005,119.21,120.04,119.19,119.78,51294200,37.66,37.986,37.6,37.85,93084800
5/24/2005,119.44,119.83,119.2,119.5,50999500,37.76,38.0,37.7,37.97,100988450
5/25/2005,119.35,119.87,118.83,119.41,48483800,37.84,37.881,37.59,37.81,76490880
5/26/2005,119.79,120.21,119.62,120.05,43558900,37.98,38.27,37.98,38.19,84087865
5/27/2005,120.06,120.25,119.8,120.25,24641600,38.14,38.25,38.02,38.21,50134134
5/31/2005,120.08,120.17,119.4,119.48,44931300,38.19,38.24,37.92,38.08,75294958
6/1/2005,119.52,120.92,119.45,120.5,69884800,38.03,38.68,38.02,38.41,110985243
6/2/2005,120.23,120.84,120.1,120.76,40485200,38.33,38.66,38.3,38.66,76148728
6/3/2005,120.55,120.89,119.73,120.15,61053700,38.63,38.64,38.02,38.1,97066527
6/6/2005,120.02,120.2,119.55,120.04,36332000,38.12,38.19,37.96,38.11,53078551
6/7/2005,120.39,121.25,120.01,120.13,66691800,38.15,38.471,37.738,37.79,109623127
6/8/2005,120.43,120.59,119.67,119.91,50023400,37.9,37.95,37.56,37.71,79250426
6/9/2005,119.74,120.58,119.44,120.48,57167700,37.66,38.06,37.5,37.95,99440618
6/10/2005,120.56,120.65,119.6,120.2,36504400,37.9,37.9,37.38,37.547,86005691
6/13/2005,119.94,121.08,119.81,120.58,49503300,37.48,37.95,37.46,37.73,82360374
6/14/2005,120.45,121.2,120.38,120.86,34001600,37.69,37.84,37.5,37.58,62764610
6/15/2005,121.16,121.24,120.23,121.09,53891700,37.83,37.87,37.25,37.7,104082266
6/16/2005,121.09,121.64,120.92,121.4,46664300,37.74,38.0,37.66,37.9,90509327
6/17/2005,121.54,121.9,120.49,121.36,53756800,38.11,38.21,37.75,37.87,89171244
6/20/2005,121.08,121.84,120.94,121.4,42236500,37.72,38.08,37.58,37.87,68165272
6/21/2005,121.5,121.65,121.03,121.47,40060700,37.84,38.011,37.7,37.85,97916236
6/22/2005,121.68,121.94,121.07,121.57,46684100,38.0,38.1,37.63,37.81,75517520
6/23/2005,121.32,121.6,119.83,119.86,62818500,37.87,38.18,37.33,37.39,122223734
6/24/2005,119.88,120.0078125,118.84,118.98,59190900,37.38,37.41,36.958,36.97,142329993
6/27/2005,118.97,119.41,118.75,119.15,51164200,36.95,37.06,36.7,36.8,72888203
6/28/2005,119.4,120.24,119.37,120.15,42617300,36.95,37.26,36.9,37.15,73382074
6/29/2005,120.37,120.4,119.76,119.83,43059500,37.25,37.26,36.97,37.068,71580396
6/30/2005,120.22,120.32,118.95,119.18,62303700,37.14,37.21,36.75,36.78,87963270
7/1/2005,119.45,119.8,119.21,119.53,49786600,36.86,37.001,36.68,36.725,55292742
7/5/2005,119.43,120.65,119.19,120.49,51552100,36.63,37.19,36.6,37.11,79288691
7/6/2005,120.39,120.65,119.41,119.48,54070500,37.03,37.28,36.864,36.93,79331938
7/7/2005,118.28,119.95,118.26,119.95,103268900,36.58,37.09,36.5498125,37.06,120216319
7/8/2005,119.97,121.32,119.72,121.32,64550900,37.08,37.81,36.993,37.77,101469272
7/11/2005,121.33,122.1,121.31,121.94,49772400,37.87,38.16,37.8,38.12,96455481
7/12/2005,121.89,122.63,121.64,122.26,52169900,38.12,38.46,38.01,38.3,86105577
