DATE,px_open,px_high,px_low,px_last,px_volume,vwap,"smavg(px_last,period=20)","smavg(px_last,period=50)","rsi(px_last,period=14)"
4/15/2005,35.24,35.37,34.68,34.74,170274398,35.04868,36.3115,36.98284,29.22999181
4/18/2005,34.73,35.1,34.64,34.75,110713926,34.79982,36.2235,36.93476,29.39742096
4/19/2005,35.02,35.1,34.75,34.99,97511449,34.99083,36.144,36.87956,33.46581121
4/20/2005,35.21,35.29,34.59,34.704,140456063,34.98086,36.0727,36.82016,31.16140743
4/21/2005,35.09,35.71,34.96,35.62,125000946,35.32174,36.0407,36.77776,44.37304455
4/22/2005,35.455,35.47,34.817,35.09,115150749,35.20292,35.9817,36.73736,39.63334843
4/25/2005,35.3,35.463,35.149,35.375,72220029,35.32982,35.93345,36.70186,43.1498938
4/26/2005,35.29,35.7,35.04,35.05,108099464,35.28133,35.88345,36.64886,40.26908717
4/27/2005,34.87,35.25,34.73,35.1,112639749,34.98635,35.80195,36.59348,40.92255975
4/28/2005,34.92,35.15,34.72,34.75,98661337,34.88773,35.71095,36.52608,37.80469891
4/29/2005,35,35.064,34.35,34.98,144508387,34.74699,35.64995,36.46608,40.9866165
5/2/2005,35.1,35.263625,34.886,35.12,68205394,35.08815,35.58295,36.41908,42.90149393
5/3/2005,35.05,35.6,35.03,35.3,104075336,35.21146,35.51995,36.37808,45.35653006
5/4/2005,35.29,35.832,35.24,35.728,90934885,35.5493,35.48135,36.35484,50.77610319
5/5/2005,35.75,35.924,35.53,35.76,79625223,35.72787,35.42235,36.33124,51.16608046
5/6/2005,35.97,36.02,35.723,35.857,77397625,35.89347,35.3832,36.30018,52.39720555
5/9/2005,35.87,36.06,35.657,36.03,66371706,35.89047,35.3607,36.26838,54.59575438
5/10/2005,35.859,35.96,35.619,35.766,77475651,35.78263,35.316,36.2393,50.74422843
5/11/2005,35.823,36.026,35.3,35.95,132093966,35.70102,35.3105,36.2057,53.2212032
5/12/2005,36,36.2,35.656,35.85,116671463,35.95903,35.3255,36.1705,51.69954184
5/13/2005,35.99,36.47,35.888,36.24,133310016,36.18033,35.4005,36.1493,56.87779815
5/16/2005,36.24,36.538,36.13,36.484,79136957,36.3512,35.4872,36.12858,59.78284748
5/17/2005,36.349,36.74,36.21,36.7,91708996,36.46244,35.5727,36.10138,62.20990032
5/18/2005,36.8,37.36,36.71,37.2,128146759,37.08081,35.6975,36.09178,67.15166647
5/19/2005,37.29,37.52,37.2,37.512,93998428,37.3962,35.7921,36.09062,69.80509331
5/20/2005,37.45,37.69,37.35,37.66,66708477,37.53829,35.9206,36.09342,71.00171771
5/23/2005,37.66,37.986,37.6,37.85,93084800,37.8089,36.04435,36.10702,72.50800229
5/24/2005,37.76,38,37.7,37.97,100988450,37.85245,36.19035,36.11962,73.44615701
5/25/2005,37.84,37.881,37.59,37.81,76490880,37.75055,36.32585,36.13502,70.01543612
5/26/2005,37.98,38.27,37.98,38.19,84087865,38.14968,36.49785,36.16652,73.21543091
5/27/2005,38.14,38.25,38.02,38.21,50134134,38.1515,36.65935,36.19652,73.37647625
5/31/2005,38.19,38.24,37.92,38.08,75294958,38.10204,36.80735,36.22792,70.41291535
6/1/2005,38.03,38.68,38.02,38.41,110985243,38.44686,36.96285,36.26452,73.35483428
6/2/2005,38.33,38.66,38.3,38.66,76148728,38.50786,37.10945,36.31512,75.35415724
