date,open,high,low,close,volume
4/15/2005,115.74,116.2,114.1,114.15,134065900
4/18/2005,114.12,114.96,113.96,114.5,100318700
4/19/2005,115.1,115.71,114.83,115.41,68402200
4/20/2005,115.4,115.63,113.55,113.8,114839500
4/21/2005,114.79,116.21,114.38,116.01,87467500
4/22/2005,115.74,116.5,114.27,115.57,89839500
4/25/2005,115.86,116.5,115.72,116.33,52365600
4/26/2005,115.96,116.77,115.15,115.2,75364600
4/27/2005,114.86,116.07,114.44,115.65,85186600
4/28/2005,115.27,115.68,114.2,114.2,74269500
4/29/2005,115.07,115.87,113.97,115.75,104285600
5/2/2005,116.07,116.41,115.52,116.4,56060700
5/3/2005,116.07,116.85,115.69,116.6,86914900
5/4/2005,116.65,117.75,116.28,117.5,82487900
5/5/2005,117.67,118,116.74,117.46,97323300
5/6/2005,117.93,117.99,117.06,117.09,69603700
5/9/2005,117.21,118.08,117.05,117.82,43976700
5/10/2005,117.36,117.5,116.39,116.6,75034400
5/11/2005,116.93,117.4,115.85,117.24,92041300
5/12/2005,117.32,117.59,115.41,115.95,95574400
5/13/2005,116.3,116.62,114.8,115.72,85442700
5/16/2005,115.7,116.84,115.66,116.8,49351500
5/17/2005,116.43,117.7,116.16,117.58,61417200
5/18/2005,118.07,119.08,118.01,118.79,78053800
5/19/2005,119.02,119.41,118.7,119.29,62850100
5/20/2005,119.34,119.39,118.74,119.12,46424800
5/23/2005,119.21,120.04,119.19,119.78,51294200
5/24/2005,119.44,119.83,119.2,119.5,50999500
5/25/2005,119.35,119.87,118.83,119.41,48483800
5/26/2005,119.79,120.21,119.62,120.05,43558900
5/27/2005,120.06,120.25,119.8,120.25,24641600
5/31/2005,120.08,120.17,119.4,119.48,44931300
6/1/2005,119.52,120.92,119.45,120.5,69884800
6/2/2005,120.23,120.84,120.1,120.76,40485200
6/3/2005,120.55,120.89,119.73,120.15,61053700
6/6/2005,120.02,120.2,119.55,120.04,36332000
6/7/2005,120.39,121.25,120.01,120.13,66691800
6/8/2005,120.43,120.59,119.67,119.91,50023400
6/9/2005,119.74,120.58,119.44,120.48,57167700
6/10/2005,120.56,120.65,119.6,120.2,36504400
6/13/2005,119.94,121.08,119.81,120.58,49503300
6/14/2005,120.45,121.2,120.38,120.86,34001600
6/15/2005,121.16,121.24,120.23,121.09,53891700
6/16/2005,121.09,121.64,120.92,121.4,46664300
6/17/2005,121.54,121.9,120.49,121.36,53756800
6/20/2005,121.08,121.84,120.94,121.4,42236500
6/21/2005,121.5,121.65,121.03,121.47,40060700
6/22/2005,121.68,121.94,121.07,121.57,46684100
6/23/2005,121.32,121.6,119.83,119.86,62818500
6/24/2005,119.88,120.0078125,118.84,118.98,59190900
6/27/2005,118.97,119.41,118.75,119.15,51164200
6/28/2005,119.4,120.24,119.37,120.15,42617300
6/29/2005,120.37,120.4,119.76,119.83,43059500
6/30/2005,120.22,120.32,118.95,119.18,62303700
7/1/2005,119.45,119.8,119.21,119.53,49786600
7/5/2005,119.43,120.65,119.19,120.49,51552100
7/6/2005,120.39,120.65,119.41,119.48,54070500
7/7/2005,118.28,119.95,118.26,119.95,103268900
7/8/2005,119.97,121.32,119.72,121.32,64550900
7/11/2005,121.33,122.1,121.31,121.94,49772400
7/12/2005,121.89,122.63,121.64,122.26,52169900
7/13/2005,122.27,122.52,121.99,122.43,41297700
7/14/2005,122.91,123.44,122.49,122.91,64776100
7/15/2005,122.79,123.04,122.36,122.84,56138000
7/18/2005,122.5,122.63,122.05,122.35,56857200
7/19/2005,122.71,123.11,122.41,123.02,59514500
7/20/2005,122.59,123.73,122.3,123.44,69608800
7/21/2005,123.55,123.61,122.47,122.72,100793200
7/22/2005,122.88,123.56,122.63,123.54,55934700
7/25/2005,123.41,123.95,122.85,123.19,57598900
7/26/2005,123.23,123.53,122.37,123.34,42852600
7/27/2005,123.5,123.89,123.05,123.79,45263500
7/28/2005,123.99,124.64,123.64,124.57,48448900
7/29/2005,124.41,124.63,123.5,123.74,62448200
8/1/2005,123.83,124.04,123.45,123.65,42941100
8/2/2005,123.87,124.6,123.74,124.39,46243800
8/3/2005,124.25,124.74,124.12,124.72,37199000
