DATE,px_open,px_high,px_low,px_last,px_volume,vwap,"smavg(px_last,period=20)","smavg(px_last,period=50)","rsi(px_last,period=14)"
4/15/2005,115.74,116.2,114.1,114.15,134065900,115.3224,117.538,119.3604,30.70263348
4/18/2005,114.12,114.96,113.96,114.5,100318700,114.4803,117.336,119.2682,33.00678138
4/19/2005,115.1,115.71,114.83,115.41,68402200,115.2395,117.2015,119.1718,38.71265875
4/20/2005,115.4,115.63,113.55,113.8,114839500,114.6115,117.0465,119.0464,33.30756061
4/21/2005,114.79,116.21,114.38,116.01,87467500,115.1582,116.997,118.9624,44.71763073
4/22/2005,115.74,116.5,114.27,115.57,89839500,115.3274,116.9185,118.8876,43.13532686
4/25/2005,115.86,116.5,115.72,116.33,52365600,116.1327,116.8695,118.8194,46.6470111
4/26/2005,115.96,116.77,115.15,115.2,75364600,115.8603,116.803,118.708,42.4494721
4/27/2005,114.86,116.07,114.44,115.65,85186600,115.3277,116.6765,118.6074,44.58789843
4/28/2005,115.27,115.68,114.2,114.2,74269500,114.9145,116.4885,118.4688,39.49539204
4/29/2005,115.07,115.87,113.97,115.75,104285600,114.8701,116.4045,118.3596,46.52618241
5/2/2005,116.07,116.41,115.52,116.4,56060700,116.0834,116.343,118.283,49.19248826
5/3/2005,116.07,116.85,115.69,116.6,86914900,116.2201,116.2635,118.2072,50.01830013
5/4/2005,116.65,117.75,116.28,117.5,82487900,117.0424,116.2085,118.1852,53.66779969
5/5/2005,117.67,118,116.74,117.46,97323300,117.3654,116.1195,118.1454,53.48089375
5/6/2005,117.93,117.99,117.06,117.09,69603700,117.56,116.074,118.0824,51.68771703
5/9/2005,117.21,118.08,117.05,117.82,43976700,117.6003,116.0605,118.0102,54.90064221
5/10/2005,117.36,117.5,116.39,116.6,75034400,116.9528,115.9555,117.9296,49.03191936
5/11/2005,116.93,117.4,115.85,117.24,92041300,116.6597,115.9525,117.8498,51.93462715
5/12/2005,117.32,117.59,115.41,115.95,95574400,116.8103,115.9615,117.7454,46.22068504
5/13/2005,116.3,116.62,114.8,115.72,85442700,115.8267,116.04,117.6354,45.26446246
5/16/2005,115.7,116.84,115.66,116.8,49351500,116.3209,116.155,117.5168,50.44841233
5/17/2005,116.43,117.7,116.16,117.58,61417200,116.8457,116.2635,117.4126,53.84808178
5/18/2005,118.07,119.08,118.01,118.79,78053800,118.5712,116.513,117.3418,58.59397645
5/19/2005,119.02,119.41,118.7,119.29,62850100,119.0539,116.677,117.3082,60.40585317
5/20/2005,119.34,119.39,118.74,119.12,46424800,119.0615,116.8545,117.2658,59.45326662
5/23/2005,119.21,120.04,119.19,119.78,51294200,119.5698,117.027,117.2536,61.9612863
5/24/2005,119.44,119.83,119.2,119.5,50999500,119.4389,117.242,117.2208,60.25837792
5/25/2005,119.35,119.87,118.83,119.41,48483800,119.1679,117.43,117.2062,59.69051262
5/26/2005,119.79,120.21,119.62,120.05,43558900,119.9397,117.7225,117.2248,62.40378949
5/27/2005,120.06,120.25,119.8,120.25,24641600,120.0455,117.9475,117.2426,63.23658315
5/31/2005,120.08,120.17,119.4,119.48,44931300,119.6805,118.1015,117.2614,57.91736786
6/1/2005,119.52,120.92,119.45,120.5,69884800,120.4025,118.2965,117.3094,62.42614767
6/2/2005,120.23,120.84,120.1,120.76,40485200,120.4988,118.4595,117.3866,63.49966928
6/3/2005,120.55,120.89,119.73,120.15,61053700,120.2047,118.594,117.4496,59.22436849
6/6/2005,120.02,120.2,119.55,120.04,36332000,119.8808,118.7415,117.5076,58.46000212
6/7/2005,120.39,121.25,120.01,120.13,66691800,120.6992,118.857,117.564,58.92708204
6/8/2005,120.43,120.59,119.67,119.91,50023400,120.1171,119.0225,117.6316,57.23299373
6/9/2005,119.74,120.58,119.44,120.48,57167700,120.0277,119.1845,117.6776,60.40881782
6/10/2005,120.56,120.65,119.6,120.2,36504400,120.0731,119.397,117.7224,58.12542015
6/13/2005,119.94,121.08,119.81,120.58,49503300,120.4767,119.64,117.7854,60.31766321
6/14/2005,120.45,121.2,120.38,120.86,34001600,120.7218,119.843,117.85,61.90043176
6/15/2005,121.16,121.24,120.23,121.09,53891700,120.6934,120.0185,117.908,63.19891193
6/16/2005,121.09,121.64,120.92,121.4,46664300,121.3377,120.149,117.964,64.9336137
6/17/2005,121.54,121.9,120.49,121.36,53756800,121.5195,120.2525,118.0064,64.51106057
6/20/2005,121.08,121.84,120.94,121.4,42236500,121.3402,120.3665,118.0744,64.75803757
6/21/2005,121.5,121.65,121.03,121.47,40060700,121.3686,120.451,118.142,65.21427125
6/22/2005,121.68,121.94,121.07,121.57,46684100,121.4322,120.5545,118.1994,65.89355365
6/23/2005,121.32,121.6,119.83,119.86,62818500,120.7838,120.577,118.2506,48.46509079
6/24/2005,119.88,120.0078125,118.84,118.98,59190900,119.5389,120.5235,118.3148,42.26910451
6/27/2005,118.97,119.41,118.75,119.15,51164200,119.1028,120.4685,118.4148,43.76479131
6/28/2005,119.4,120.24,119.37,120.15,42617300,119.8845,120.502,118.5278,51.69304897
6/29/2005,120.37,120.4,119.76,119.83,43059500,120.0841,120.4685,118.6162,49.29790002
6/30/2005,120.22,120.32,118.95,119.18,62303700,119.6817,120.3895,118.7238,44.76110423
7/1/2005,119.45,119.8,119.21,119.53,49786600,119.477,120.3585,118.7942,47.55960932
7/5/2005,119.43,120.65,119.19,120.49,51552100,120.1305,120.381,118.8926,54.38567192
7/6/2005,120.39,120.65,119.41,119.48,54070500,120.0048,120.3485,118.9556,47.39566237
7/7/2005,118.28,119.95,118.26,119.95,103268900,118.9716,120.3505,119.0506,50.57888475
7/8/2005,119.97,121.32,119.72,121.32,64550900,120.6372,120.3925,119.164,58.46811237
7/11/2005,121.33,122.1,121.31,121.94,49772400,121.7209,120.4795,119.3188,61.46604158
7/12/2005,121.89,122.63,121.64,122.26,52169900,122.0903,120.5635,119.449,62.95246321
7/13/2005,122.27,122.52,121.99,122.43,41297700,122.263,120.642,119.5696,63.75241009
7/14/2005,122.91,123.44,122.49,122.91,64776100,122.8857,120.733,119.6958,65.98567707
7/15/2005,122.79,123.04,122.36,122.84,56138000,122.6649,120.805,119.8026,65.35330807
